Tamaño del municipio (habitantes),Municipios,Población,Jóvenes,Adultos,Mayores,Jóvenes,Adultos,Mayores
Total España,8131,47475420,0.14893001473183387,0.65140856047192419,0.19966142479624194,7070515,30925895,9479010
Rural,5866,2682457,0.10774040366723493,0.60802540357590074,0.28423419275686435,289009,1631002,762446
0-100,1371,77156,0.046321737778008194,0.56121364508268956,0.3924646171393022,3574,43301,30281
101-500,2614,648063,0.084930014520193248,0.58765120057772158,0.32741878490208515,55040,380835,212188
501-1.000,1001,714747,0.1099969639606742,0.6109588427793331,0.27904419325999269,78620,436681,199446
1.001-2.000,880,1242491,0.12215380232130454,0.61987169323560498,0.25797450444309056,151775,770185,320531
Intermedio,1501,6904540,0.14978391029670332,0.64674243323957858,0.20347365646371807,1034189,4465459,1404892
2.001-5.000,952,3019971,0.1431884610812488,0.63905017630964001,0.21776136260911114,432425,1929913,657633
5.001-10.000,549,3884569,0.15491139428852982,0.65272260577685715,0.19236599993461309,601764,2535546,747259
Urbano,764,37888423,0.15169058369096017,0.65533036305047587,0.19297905325856396,5747317,24829434,7311672
10.001-20.000,347,4897392,0.15732291799390369,0.65357827186388184,0.18909881014221447,770472,3200829,926091
20.001-50.000,266,7837670,0.15992737637588722,0.66273548133565208,0.17733714228846073,1253458,5194302,1389910
50.001-100.000,87,6210937,0.16093932364794555,0.65914853105095095,0.17991214530110353,999584,4093930,1117423
100.001-500.000,58,11298873,0.14806981191840993,0.64847157765203667,0.20345861042955346,1673022,7326998,2298853
>500.000,6,7643551,0.13747288400378305,0.65589606192200456,0.20663105407421237,1050781,5013375,1579395
,,,,,,,,
,,,,,,,,
,,,,,,,,
